,Item,kmeans_overall,hierarchical_clustering_overall,kmeans_launch,hierarchical_clustering_launch,kmeans_rol,hierarchical_clustering_rol,distance
0,FAR008,cluster 5,cluster 7,,,cluster 7,cluster 5,0.04716231190149927
1,FAR010,cluster 5,cluster 7,,,cluster 7,cluster 5,0.04693655042621905
2,FAR039,cluster 5,cluster 7,cluster 13,cluster 5,cluster 7,cluster 5,0.051310416043562575
3,FAR042,cluster 9,cluster 6,cluster 13,cluster 7,cluster 7,cluster 5,0.11120852064677685
4,FAR043,cluster 9,cluster 6,cluster 13,cluster 7,cluster 7,cluster 5,0.1046481457218703
5,FAR044,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.10264650476481575
6,FAR045,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.10214963737251521
7,FAR046,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.09968024600216589
8,FAR047,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.07919981647175754
9,FAR049,cluster 5,cluster 7,cluster 11,cluster 2,cluster 7,cluster 5,0.04098340213462839
10,FAR052,cluster 9,cluster 6,cluster 2,cluster 7,cluster 5,cluster 5,0.12911975576007034
11,FAR054,cluster 10,cluster 6,cluster 2,cluster 7,cluster 5,cluster 5,0.1159488275149602
12,FAR055,cluster 10,cluster 6,cluster 2,cluster 7,cluster 5,cluster 5,0.1157263471112157
13,FAR056,cluster 5,cluster 7,cluster 13,cluster 7,cluster 7,cluster 5,0.039485025124295886
14,FAR057,cluster 11,cluster 7,cluster 2,cluster 7,cluster 4,cluster 5,0.0471005875292294
15,FAR059,cluster 2,cluster 8,cluster 2,cluster 7,cluster 7,cluster 4,0.13554310371775377
16,FAR060,cluster 7,cluster 7,cluster 1,cluster 2,cluster 7,cluster 4,0.08753422676883729
17,FAR070,cluster 2,cluster 8,cluster 6,cluster 2,cluster 4,cluster 4,0.12880971565780117
18,FAR071,cluster 2,cluster 8,cluster 1,cluster 2,cluster 4,cluster 4,0.1242410904444053
19,FAR072,cluster 2,cluster 8,cluster 1,cluster 2,cluster 7,cluster 4,0.15385952685967033
20,FAR073,cluster 2,cluster 8,cluster 6,cluster 2,cluster 7,cluster 4,0.17427372070116673
21,FAR074,cluster 1,cluster 4,cluster 3,cluster 2,cluster 1,cluster 4,0.26811051277821085
22,FAR076,cluster 13,cluster 5,cluster 10,cluster 5,cluster 9,cluster 4,0.1431257641529963
23,FAR077,cluster 0,cluster 6,cluster 10,cluster 5,cluster 9,cluster 4,0.19087632385558637
24,FAR078,cluster 13,cluster 5,cluster 10,cluster 5,cluster 3,cluster 4,0.10893210621048911
25,FAR080,cluster 6,cluster 1,cluster 4,cluster 3,,,
26,FAR081,cluster 6,cluster 1,cluster 4,cluster 3,,,
27,FBR048,cluster 7,cluster 8,cluster 1,cluster 2,cluster 11,cluster 4,0.12349166787709337
28,FBR050,cluster 2,cluster 8,cluster 1,cluster 2,cluster 4,cluster 4,0.10479974788254269
29,FBR051,cluster 7,cluster 8,cluster 1,cluster 2,cluster 11,cluster 4,0.11211639588596166
30,FBR053,cluster 1,cluster 4,cluster 3,cluster 1,cluster 8,cluster 3,0.9034483657021684
31,FBR054,cluster 1,cluster 4,cluster 9,cluster 5,cluster 1,cluster 4,0.3537047403319603
32,FBR055,cluster 1,cluster 4,cluster 3,cluster 1,cluster 6,cluster 3,0.8133293168684187
33,FBR057,cluster 1,cluster 4,cluster 3,cluster 1,cluster 8,cluster 3,0.6406298782970681
34,FBR058,cluster 1,cluster 4,cluster 3,cluster 1,cluster 6,cluster 3,0.9011257728076293
35,FBR059,cluster 2,cluster 8,cluster 11,cluster 2,cluster 1,cluster 4,0.20517117146498476
36,FBR060,cluster 2,cluster 8,cluster 1,cluster 2,cluster 1,cluster 4,0.21093098074656141
37,FBR061,cluster 2,cluster 8,cluster 6,cluster 1,cluster 1,cluster 4,0.24892466602112295
38,FBR062,cluster 2,cluster 8,cluster 11,cluster 2,cluster 1,cluster 4,0.20795051058122493
39,FBR063,cluster 2,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.13779496065308128
40,FBR064,cluster 2,cluster 8,cluster 1,cluster 2,cluster 1,cluster 4,0.2358491229501037
41,FBR065,cluster 2,cluster 8,cluster 11,cluster 2,cluster 1,cluster 4,0.4493541459042805
42,FBR066,cluster 2,cluster 8,cluster 6,cluster 2,cluster 11,cluster 4,0.1263618807386632
43,FBR067,cluster 1,cluster 4,cluster 3,cluster 1,cluster 8,cluster 3,0.9273686406833749
44,FBR068,cluster 1,cluster 4,cluster 3,cluster 1,cluster 6,cluster 2,0.618131346309555
45,FBR069,cluster 1,cluster 4,cluster 3,cluster 1,cluster 2,cluster 2,0.9049081080349982
46,FBR070,cluster 1,cluster 4,cluster 3,cluster 1,cluster 6,cluster 2,0.6230186795222292
47,FBR071,cluster 1,cluster 4,cluster 6,cluster 1,,,
48,FBR072,cluster 1,cluster 4,cluster 6,cluster 1,cluster 6,cluster 2,0.631940211100927
49,FBR073,cluster 1,cluster 4,cluster 3,cluster 1,cluster 6,cluster 2,0.5250618326890264
50,FBR074,cluster 1,cluster 4,cluster 6,cluster 1,cluster 13,cluster 3,0.8116893283329468
51,FBR075,cluster 1,cluster 4,cluster 6,cluster 1,cluster 0,cluster 1,0.7916782537918566
52,FBR076,cluster 1,cluster 4,cluster 6,cluster 1,cluster 0,cluster 1,0.7233311081345274
53,FBR077,cluster 1,cluster 4,cluster 6,cluster 1,cluster 2,cluster 2,0.935103372111756
54,FCL018,cluster 1,cluster 4,cluster 3,cluster 1,cluster 2,cluster 2,0.8187131439945623
55,FCL019,cluster 1,cluster 4,cluster 3,cluster 1,cluster 2,cluster 2,0.8187131439945623
56,FGS130,cluster 7,cluster 7,cluster 12,cluster 2,cluster 4,cluster 5,0.06202641034368121
57,FGS131,cluster 11,cluster 7,cluster 11,cluster 2,cluster 4,cluster 4,0.10184664226948897
58,FGS139,cluster 11,cluster 7,cluster 1,cluster 2,cluster 4,cluster 5,0.0668800169134793
59,FGS141,cluster 11,cluster 7,cluster 11,cluster 2,cluster 11,cluster 4,0.10503741763390549
60,FGS151,cluster 11,cluster 7,cluster 1,cluster 2,cluster 10,cluster 5,0.13666926651587377
61,FGS153,cluster 12,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.2303817240326893
62,FGS156,cluster 2,cluster 8,cluster 1,cluster 2,cluster 4,cluster 5,0.09696832457340722
63,FGS157,cluster 2,cluster 8,cluster 1,cluster 2,cluster 10,cluster 4,0.09949945323825836
64,FGS158,cluster 2,cluster 8,cluster 6,cluster 2,cluster 4,cluster 4,0.08308371240259792
65,FGS159,cluster 13,cluster 5,cluster 10,cluster 5,cluster 9,cluster 4,0.08076684136016306
66,FGS160,cluster 11,cluster 7,cluster 1,cluster 2,cluster 4,cluster 5,0.09486950303065379
67,FGS161,cluster 12,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.13064308115140685
68,FGS162,cluster 12,cluster 8,cluster 11,cluster 2,cluster 6,cluster 2,0.6915342538401196
69,FGS163,cluster 7,cluster 8,cluster 11,cluster 2,cluster 10,cluster 4,0.14548661787448341
70,FGS164,cluster 12,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.17339398022149954
71,FGS165,cluster 2,cluster 8,cluster 6,cluster 1,cluster 11,cluster 4,0.1309626679619779
72,FGS166,cluster 2,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.13967603403320236
73,FGS167,cluster 12,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.15052608995552622
74,FGS168,cluster 12,cluster 8,cluster 11,cluster 2,cluster 9,cluster 4,0.12779684780113526
75,FGS169,cluster 1,cluster 4,cluster 6,cluster 1,,,
76,FGS170,cluster 1,cluster 4,cluster 3,cluster 1,,,
77,FGS171,cluster 12,cluster 8,cluster 11,cluster 2,cluster 10,cluster 4,0.19033456907870844
78,FGS172,cluster 1,cluster 4,cluster 6,cluster 1,cluster 2,cluster 2,0.9261179075213904
79,FGS173,cluster 12,cluster 7,cluster 11,cluster 2,cluster 10,cluster 4,0.15794236779861157
80,FGS174,cluster 2,cluster 8,cluster 11,cluster 2,cluster 9,cluster 4,0.10654824914977866
81,FGS175,cluster 2,cluster 8,cluster 6,cluster 2,cluster 9,cluster 4,0.17237113019248398
82,FGS176,cluster 1,cluster 4,cluster 6,cluster 1,cluster 2,cluster 2,0.8089990853812205
83,FGS177,cluster 2,cluster 8,cluster 11,cluster 2,cluster 11,cluster 4,0.11436843807271226
84,FGS178,cluster 2,cluster 8,cluster 11,cluster 2,cluster 9,cluster 4,0.14903912961699814
85,FGS179,cluster 1,cluster 4,cluster 6,cluster 1,,,
86,FGS180,cluster 12,cluster 8,cluster 11,cluster 2,cluster 6,cluster 3,0.7942017551719975
87,FGS182,cluster 12,cluster 8,cluster 11,cluster 2,,,
88,FGS183,cluster 1,cluster 4,cluster 6,cluster 1,,,
89,FGS184,cluster 1,cluster 4,cluster 3,cluster 1,,,
90,FGS186,cluster 12,cluster 8,cluster 11,cluster 2,cluster 6,cluster 1,0.566149364964704
91,FGS187,cluster 1,cluster 4,cluster 6,cluster 1,cluster 0,cluster 1,0.9196176215196599
92,FGW068,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.0634206278297627
93,FGW080,cluster 10,cluster 6,cluster 5,cluster 7,cluster 5,cluster 5,0.07586768485978539
94,FGW081,cluster 10,cluster 6,cluster 5,cluster 7,cluster 5,cluster 5,0.11159767212021643
95,FGW082,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.09031547016758983
96,FGW084,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.12393832437578753
97,FGW085,cluster 0,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.18467186640488611
98,FGW086,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.0923971232366785
99,FGW087,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.06800679622072921
100,FGW089,cluster 10,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.07963824090996784
101,FGW090,cluster 0,cluster 6,cluster 13,cluster 5,cluster 5,cluster 5,0.12488626069437014
102,FGW091,cluster 0,cluster 6,cluster 2,cluster 7,cluster 5,cluster 5,0.10322173138676355
103,FGW092,cluster 0,cluster 6,cluster 2,cluster 7,cluster 7,cluster 5,0.12690078265711027
104,FGW093,cluster 0,cluster 6,cluster 13,cluster 7,cluster 5,cluster 5,0.1585921910852498
105,FGW096,cluster 6,cluster 1,cluster 4,cluster 3,,,
106,FGW098,cluster 6,cluster 1,cluster 4,cluster 3,,,
107,FGW101,cluster 8,cluster 2,cluster 7,cluster 5,,,
108,FGW102,cluster 6,cluster 1,cluster 4,cluster 3,,,
109,FGW103,cluster 8,cluster 2,cluster 9,cluster 5,,,
110,FGW104,cluster 6,cluster 1,cluster 4,cluster 3,,,
111,FGW105,cluster 3,cluster 2,cluster 7,cluster 5,,,
112,FJL095,cluster 7,cluster 7,cluster 12,cluster 2,cluster 4,cluster 5,0.05812446491550896
113,FJL096,cluster 7,cluster 7,cluster 12,cluster 2,cluster 4,cluster 5,0.051718599293668135
114,FJL113,cluster 2,cluster 8,cluster 1,cluster 2,cluster 10,cluster 4,0.1222507525885116
115,FJL119,cluster 1,cluster 8,cluster 6,cluster 1,cluster 2,cluster 2,0.9421112944132753
116,FJL120,cluster 1,cluster 4,cluster 3,cluster 1,cluster 8,cluster 3,0.6309727515151331
117,FJL121,cluster 1,cluster 4,cluster 3,cluster 1,cluster 0,cluster 1,0.88754615447717
118,FJL122,cluster 12,cluster 8,cluster 11,cluster 2,cluster 1,cluster 4,0.20292188153816282
