Item;Overall
FAR008;1.17
FAR008;0.45
FAR008;2.29
FAR008;0.67
FAR008;3.28
FAR008;0.85
FAR008;3.19
FAR008;0.94
FAR008;3.91
FAR008;1.71
FAR008;1.48
FAR008;3.01
FAR008;3.28
FAR008;3.23
FAR008;1.75
FAR008;2.02
FAR008;4.36
FAR008;2.2
FAR008;1.3
FAR008;2.65
FAR008;2.6
FAR008;1.53
FAR008;2.69
FAR008;2.33
FAR008;1.84
FAR008;1.17
FAR008;2.87
FAR008;2.47
FAR008;1.71
FAR008;0.9
FAR008;1.71
FAR008;0.63
FAR008;0.76
FAR008;0.76
FAR008;2.92
FAR008;1.12
FAR008;0.99
FAR008;2.2
FAR008;3.23
FAR008;0.76
FAR008;1.3
FAR008;1.39
FAR008;1.93
FAR008;1.71
FAR008;4.49
FAR008;2.65
FAR008;0.81
FAR008;2.38
FAR008;1.48
FAR008;1.08
FAR008;1.48
FAR008;0.36
FAR008;0
FAR010;1.77
FAR010;0.42
FAR010;3.2
FAR010;0.91
FAR010;1.24
FAR010;1.83
FAR010;4.63
FAR010;0.59
FAR010;3.69
FAR010;1.32
FAR010;1.59
FAR010;8.96
FAR010;1.41
FAR010;3.43
FAR010;1.24
FAR010;1.78
FAR010;2.35
FAR010;1.99
FAR010;3.11
FAR010;1.95
FAR010;1.43
FAR010;1.38
FAR010;2.63
FAR010;1.88
FAR010;1.04
FAR010;2.91
FAR010;1.94
FAR010;1.53
FAR010;1.37
FAR010;1.28
FAR010;1.74
FAR010;0.93
FAR010;2.01
FAR010;1.31
FAR010;3.47
FAR010;1.66
FAR010;1.52
FAR010;2.65
FAR010;1.95
FAR010;1.52
FAR010;1.06
FAR010;1.17
FAR010;1.8
FAR010;1.69
FAR010;2.3
FAR010;1.07
FAR010;2.4
FAR010;1.74
FAR010;0.79
FAR010;1.13
FAR010;0.54
FAR010;0.68
FAR010;0.08
FAR039;3.38
FAR039;1.33
FAR039;5.67
FAR039;1.53
FAR039;2.26
FAR039;0.99
FAR039;4.1
FAR039;1.31
FAR039;4.34
FAR039;1.37
FAR039;2.29
FAR039;5.03
FAR039;1.97
FAR039;1.81
FAR039;1.49
FAR039;1.51
FAR039;2.48
FAR039;2.14
FAR039;1.46
FAR039;1.69
FAR039;3.26
FAR039;1.96
FAR039;1.4
FAR039;1.44
FAR039;1.32
FAR039;1.47
FAR039;1.46
FAR039;1.61
FAR039;1.53
FAR039;1.71
FAR039;1.77
FAR039;0.89
FAR039;0.76
FAR039;1
FAR039;2.06
FAR039;1.33
FAR039;1.7
FAR039;3.6
FAR039;3.03
FAR039;2.08
FAR039;1.64
FAR039;1.13
FAR039;1.6
FAR039;1.29
FAR039;0.97
FAR039;1.24
FAR039;2.39
FAR039;1.65
FAR039;1.41
FAR039;1.32
FAR039;0.79
FAR039;0.79
FAR039;0.24
FAR042;1.45
FAR042;2.11
FAR042;2.34
FAR042;1.78
FAR042;2.03
FAR042;0.94
FAR042;5.34
FAR042;1.45
FAR042;2.82
FAR042;0.86
FAR042;2.09
FAR042;1.71
FAR042;1.48
FAR042;1.73
FAR042;1.33
FAR042;1.56
FAR042;1.36
FAR042;1.68
FAR042;1.59
FAR042;1.22
FAR042;1.3
FAR042;1.46
FAR042;0.83
FAR042;1.22
FAR042;1.15
FAR042;0.62
FAR042;0.58
FAR042;0.67
FAR042;0.67
FAR042;1.05
FAR042;0.78
FAR042;0.4
FAR042;0.59
FAR042;0.45
FAR042;4.23
FAR042;1.77
FAR042;4.89
FAR042;4.5
FAR042;4.78
FAR042;6.55
FAR042;2.52
FAR042;2.57
FAR042;2.33
FAR042;2.46
FAR042;2.12
FAR042;2.05
FAR042;1.43
FAR042;2.1
FAR042;1.98
FAR042;1.76
FAR042;1.12
FAR042;1.69
